Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-DR1030,DCP-1510,DCP-1512,DCP 1610,DCP 1612,HL 1110,HL 1112,HL 1210,HL 1212,MFC-1810,MFC,,,,
Brother,CBRO-DR1060-PT,DCP-1510,DCP-1512,HL-1110,HL-1112,MFC-1810,,,,,,,,,
Brother,CBRO-DR110CL,DCP-9040CN,DCP-9045,DCP-9045CDN,HL-4040,HL-4040CDN,HL-4040CDW,HL-4040CN,HL-4050CDN,,,,,,
Brother,CBRO-DR210CL,HL3040,HL3045,HL3070,HL3075,MFC9010,MFC9120,MFC9125,MFC9320,MFC9325,,,,,
Brother,CBRO-DR210CL-PT,HL3040,HL3045,HL3070,HL3075,MFC9010,MFC9120,MFC9125,MFC9320,MFC9325,,,,,
Brother,CBRO-DR221CL,HL3140CW,HL3150CDW,HL3170CDW,MFC9130CDW,MFC9140CDN,MFC9330CDW,MFC9340CDW,,,,,,,
Brother,CBRO-DR221CL-PT,HL3140CW,HL3150CDW,HL3170CDW,MFC9130CDW,MFC9140CDN,MFC9330CDW,MFC9340CDW,,,,,,,
Brother,CBRO-DR310CL,DCP 9050CDN,DCP-9055CDN,DCP 9270CDN,HL 4140CDN,HL 4150CDN,HL 4570CDW,HL 4570CDWT,MF,,,,,,
Brother,CBRO-DR350,HL2040,DCP-7010,DCP-7025,DCP7020,HL-2045,HL-2070,HL-2075N,HL2030,HL2070N,INTELLIF,,,,
Brother,CBRO-DR350-PT,HL2040,DCP-7010,DCP-7025,DCP7020,HL-2045,HL-2070,HL-2075N,HL2030,HL2070N,INTELLIF,,,,
Brother,CBRO-DR360,HL2140,DCP7030,DCP7040,HL-2150N,HL-2170W,MFC-7345N,MFC-7440N,MFC-7840W,MFC7320,MF,,,,
Brother,CBRO-DR360-PT,HL2140,DCP7030,DCP7040,HL-2150N,HL-2170W,MFC-7345N,MFC-7440N,MFC-7840W,MFC7320,MF,,,,
Brother,CBRO-DR400,INTELLIFAX 5750,DCP1200,DCP1400,Fax-4100e,Fax-4750e,Fax-5750e,FAX-8350P,FAX-8750P,,,,,,
